"country","year","level","mean_ratio"
"Low income countries",2012,"all_levels_mean",27.533236
"Low income countries",2013,"all_levels_mean",27.178842
"Low income countries",2014,"all_levels_mean",27.20241
"Low income countries",2015,"all_levels_mean",26.578514
"Low income countries",2016,"all_levels_mean",26.637492
"Low income countries",2017,"all_levels_mean",31.8539133333333
"Lower middle income countries",2012,"all_levels_mean",23.341312
"Lower middle income countries",2013,"all_levels_mean",23.788528
"Lower middle income countries",2014,"all_levels_mean",23.716092
"Lower middle income countries",2015,"all_levels_mean",23.521898
"Lower middle income countries",2016,"all_levels_mean",23.22291
"Lower middle income countries",2017,"all_levels_mean",23.474136
"Upper middle income countries",2012,"all_levels_mean",16.381598
"Upper middle income countries",2013,"all_levels_mean",16.86719
"Upper middle income countries",2014,"all_levels_mean",16.354158
"Upper middle income countries",2015,"all_levels_mean",16.033042
"Upper middle income countries",2016,"all_levels_mean",15.854214
"Upper middle income countries",2017,"all_levels_mean",15.646092
"High income countries",2012,"all_levels_mean",13.362264
"High income countries",2013,"all_levels_mean",13.4442
"High income countries",2014,"all_levels_mean",13.438394
"High income countries",2015,"all_levels_mean",13.381064
"High income countries",2016,"all_levels_mean",13.391414
"High income countries",2017,"all_levels_mean",13.390452
"Low income countries",2012,"Lower Secondary Education",26.03791
"Low income countries",2013,"Lower Secondary Education",25.43747
"Low income countries",2014,"Lower Secondary Education",26.1946
"Low income countries",2015,"Lower Secondary Education",25.28626
"Low income countries",2016,"Lower Secondary Education",25.95105
"Low income countries",2017,"Lower Secondary Education",NA
"Lower middle income countries",2012,"Lower Secondary Education",23.84969
"Lower middle income countries",2013,"Lower Secondary Education",22.15153
"Lower middle income countries",2014,"Lower Secondary Education",22.27758
"Lower middle income countries",2015,"Lower Secondary Education",22.13645
"Lower middle income countries",2016,"Lower Secondary Education",21.08379
"Lower middle income countries",2017,"Lower Secondary Education",21.15185
"Upper middle income countries",2012,"Lower Secondary Education",14.61925
"Upper middle income countries",2013,"Lower Secondary Education",14.56363
"Upper middle income countries",2014,"Lower Secondary Education",14.14774
"Upper middle income countries",2015,"Lower Secondary Education",13.96013
"Upper middle income countries",2016,"Lower Secondary Education",13.82274
"Upper middle income countries",2017,"Lower Secondary Education",13.71082
"High income countries",2012,"Lower Secondary Education",13.18485
"High income countries",2013,"Lower Secondary Education",13.24941
"High income countries",2014,"Lower Secondary Education",13.15509
"High income countries",2015,"Lower Secondary Education",13.05505
"High income countries",2016,"Lower Secondary Education",13.1014
"High income countries",2017,"Lower Secondary Education",13.11144
"Low income countries",2012,"Pre-Primary Education",30.51457
"Low income countries",2013,"Pre-Primary Education",29.96616
"Low income countries",2014,"Pre-Primary Education",29.2061
"Low income countries",2015,"Pre-Primary Education",29.01574
"Low income countries",2016,"Pre-Primary Education",29.18848
"Low income countries",2017,"Pre-Primary Education",34.37293
"Lower middle income countries",2012,"Pre-Primary Education",19.24224
"Lower middle income countries",2013,"Pre-Primary Education",19.64871
"Lower middle income countries",2014,"Pre-Primary Education",18.62791
"Lower middle income countries",2015,"Pre-Primary Education",19.092
"Lower middle income countries",2016,"Pre-Primary Education",19.35745
"Lower middle income countries",2017,"Pre-Primary Education",19.69809
"Upper middle income countries",2012,"Pre-Primary Education",18.28093
"Upper middle income countries",2013,"Pre-Primary Education",18.85462
"Upper middle income countries",2014,"Pre-Primary Education",18.28059
"Upper middle income countries",2015,"Pre-Primary Education",17.68123
"Upper middle income countries",2016,"Pre-Primary Education",17.26022
"Upper middle income countries",2017,"Pre-Primary Education",16.77954
"High income countries",2012,"Pre-Primary Education",14.43238
"High income countries",2013,"Pre-Primary Education",14.39612
"High income countries",2014,"Pre-Primary Education",14.36183
"High income countries",2015,"Pre-Primary Education",14.44347
